dataset,database_name,pipeline,n_train,n_test,n_features,ref_rmse_pls,ref_rmse_paper_ridge,ref_rmse_tabpfn_raw,ref_rmse_tabpfn_opt,ref_rmse_cnn,ref_rmse_catboost,ref_rmse_aom_ridge_curated_best,status,error_message,rmsep,fit_time_s,predict_time_s,relative_rmsep_vs_pls,relative_rmsep_vs_paper_ridge,relative_rmsep_vs_tabpfn_raw,relative_rmsep_vs_tabpfn_opt,relative_rmsep_vs_cnn,relative_rmsep_vs_catboost,relative_rmsep_vs_aom_ridge_curated_best
TIC_spxy70,IncombustibleMaterial,FCK-PLS,43,19,254,2.787786960121247,2.506867785916912,3.4640680128660866,2.9618158540951023,4.484732080735033,3.8836388033062335,3.727188326568226,OK,,4.144764628339589,0.0053439959883689,0.000875012949109,0.4867580226285741,0.6533638716904246,0.1965020931879193,0.399399838652664,-0.0758055211047802,0.0672374127097126,0.1120352032642906
TIC_spxy70,IncombustibleMaterial,FCK-Ridge,43,19,254,2.787786960121247,2.506867785916912,3.4640680128660866,2.9618158540951023,4.484732080735033,3.8836388033062335,3.727188326568226,OK,,4.703824411326521,0.0025376189732924,0.0005894930800423,0.6872969414857804,0.8763751474057297,0.3578903167766298,0.5881555920577783,0.0488529362841179,0.2111899817568112,0.2620302488598753
TIC_spxy70,IncombustibleMaterial,FCK-AOMPLS,43,19,254,2.787786960121247,2.506867785916912,3.4640680128660866,2.9618158540951023,4.484732080735033,3.8836388033062335,3.727188326568226,OK,,3.2228083113246835,1.1626201240578666,0.0007258360274136,0.1560454071370347,0.2855916572185353,-0.0696463523941582,0.0881190695460436,-0.281382197797538,-0.1701575572421846,-0.1353245318054389
TIC_spxy70,IncombustibleMaterial,ASLS-FCK-PLS,43,19,254,2.787786960121247,2.506867785916912,3.4640680128660866,2.9618158540951023,4.484732080735033,3.8836388033062335,3.727188326568226,OK,,4.110177134483786,0.0121477610664442,0.003400310059078,0.4743512303052832,0.6395667763469415,0.1865174468913282,0.3877220384248137,-0.0835177976094078,0.05833146248943,0.1027554216097776
TIC_spxy70,IncombustibleMaterial,Concat-SNV-FCK-AOMPLS,43,19,254,2.787786960121247,2.506867785916912,3.4640680128660866,2.9618158540951023,4.484732080735033,3.8836388033062335,3.727188326568226,OK,,3.983475803025262,1.2334716989425942,0.0009996789740398,0.4289025165868527,0.589025087562911,0.149941568188042,0.3449437774862269,-0.1117695034365612,0.0257070764752982,0.0687616117034286
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,PLS-baseline,77,35,276,1.85348186559904,1.5951757108023992,1.507199700321095,1.4832810032041188,1.787942024636682,1.7864439261499914,1.4654540720419815,OK,,1.463141412322882,0.0014651430537924,0.0001424360089004,-0.2105984744285592,-0.0827710060938062,-0.0292318847919268,-0.0135777312847208,-0.1816617137682643,-0.1809754614150506,-0.0015781181841317
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,FCK-PLS,77,35,276,1.85348186559904,1.5951757108023992,1.507199700321095,1.4832810032041188,1.787942024636682,1.7864439261499914,1.4654540720419815,OK,,1.4869284684652948,0.00979715003632,0.0013464499497786,-0.1977647604419783,-0.0678591340151827,-0.013449599181503,0.0024590520968696,-0.1683575597103348,-0.1676601505932456,0.0146537491914642
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,FCK-Ridge,77,35,276,1.85348186559904,1.5951757108023992,1.507199700321095,1.4832810032041188,1.787942024636682,1.7864439261499914,1.4654540720419815,OK,,1.7140147770934164,0.0045242479536682,0.0011483100242912,-0.0752459957090263,0.0744990445166942,0.1372180983901876,0.1555563466334946,-0.0413476760010089,-0.0405437573474073,0.1696134391336381
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,FCK-AOMPLS,77,35,276,1.85348186559904,1.5951757108023992,1.507199700321095,1.4832810032041188,1.787942024636682,1.7864439261499914,1.4654540720419815,OK,,1.5015339565274763,1.4327468120027331,0.0011990598868578,-0.1898847329470985,-0.0587030968693846,-0.0037591195064673,0.0123057959239876,-0.1601886773523347,-0.1594844178717276,0.0246202765230443
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,ASLS-FCK-PLS,77,35,276,1.85348186559904,1.5951757108023992,1.507199700321095,1.4832810032041188,1.787942024636682,1.7864439261499914,1.4654540720419815,OK,,1.560702205409307,0.0252132290042936,0.0071396349230781,-0.1579619771974987,-0.0216111022501411,0.0354979536399944,0.05219591030826,-0.1270957425331234,-0.1263637315654154,0.0649956455029705
